state_slug,state_name,state_code,district_name,district_code
andaman,Andaman & Nicobar Islands,35,Nicobars,638
andaman,Andaman & Nicobar Islands,35,South Andaman,640
andaman,Andaman & Nicobar Islands,35,North  & Middle Andaman,639
andhrapradesh,Andhra Pradesh,28,Anantapur,553
andhrapradesh,Andhra Pradesh,28,Chittoor,554
andhrapradesh,Andhra Pradesh,28,Y.S.R.,551
andhrapradesh,Andhra Pradesh,28,East Godavari,545
andhrapradesh,Andhra Pradesh,28,Guntur,548
andhrapradesh,Andhra Pradesh,28,Krishna,547
andhrapradesh,Andhra Pradesh,28,Kurnool,552
andhrapradesh,Andhra Pradesh,28,Prakasam,549
andhrapradesh,Andhra Pradesh,28,Srikakulam,542
andhrapradesh,Andhra Pradesh,28,Visakhapatnam,544
andhrapradesh,Andhra Pradesh,28,Vizianagaram,543
andhrapradesh,Andhra Pradesh,28,West Godavari,546
andhrapradesh,Andhra Pradesh,28,Sri Potti Sriramulu Nellore,550
assam,Assam,18,Barpeta,303
assam,Assam,18,Chirang,320
assam,Assam,18,Cachar,316
assam,Assam,18,Udalguri,326
assam,Assam,18,Dhemaji,308
assam,Assam,18,Dhuburi,301
assam,Assam,18,Dibrugarh,310
assam,Assam,18,Goalpara,302
assam,Assam,18,Golaghat,313
assam,Assam,18,Hailakandi,318
assam,Assam,18,Jorhat,312
assam,Assam,18,Kamrup,321
assam,Assam,18,Karimganj,317
assam,Assam,18,Lakhimpur,307
assam,Assam,18,Morigaon,304
assam,Assam,18,Nagaon,305
assam,Assam,18,Dima Hasao,315
assam,Assam,18,Sivasagar,311
assam,Assam,18,Sonitpur,306
assam,Assam,18,Tinsukia,309
assam,Assam,18,Nalbari,323
assam,Assam,18,Baksa,324
assam,Assam,18,Kamrup Metropolitan,322
assam,Assam,18,Darrang,325
assam,Assam,18,Bongaigaon,319
assam,Assam,18,Karbi Anglong,314
assam,Assam,18,Kokrajhar,300
bihar,Bihar,10,Araria,209
bihar,Bihar,10,Aurangabad,235
bihar,Bihar,10,Banka,225
bihar,Bihar,10,Begusarai,222
bihar,Bihar,10,Kaimur (Bhabua),233
bihar,Bihar,10,Bhagalpur,224
bihar,Bihar,10,Bhojpur,231
bihar,Bihar,10,Buxar,232
bihar,Bihar,10,Gaya,236
bihar,Bihar,10,Gopalganj,217
bihar,Bihar,10,Jamui,238
bihar,Bihar,10,Jehanabad,239
bihar,Bihar,10,Katihar,212
bihar,Bihar,10,Khagaria,223
bihar,Bihar,10,Kishanganj,210
bihar,Bihar,10,Madhepura,213
bihar,Bihar,10,Muzaffarpur,216
bihar,Bihar,10,Nalanda,229
bihar,Bihar,10,Nawada,237
bihar,Bihar,10,Pashchim Champaran,203
bihar,Bihar,10,Patna,230
bihar,Bihar,10,Purba Champaran,204
bihar,Bihar,10,Purnia,211
bihar,Bihar,10,Rohtas,234
bihar,Bihar,10,Saharsa,214
bihar,Bihar,10,Samastipur,221
bihar,Bihar,10,Saran,219
bihar,Bihar,10,Sheikhpura,228
bihar,Bihar,10,Sheohar,205
bihar,Bihar,10,Sitamarhi,206
bihar,Bihar,10,Supaul,208
bihar,Bihar,10,Vaishali,220
bihar,Bihar,10,Arwal,240
bihar,Bihar,10,Darbhanga,215
bihar,Bihar,10,Madhubani,207
bihar,Bihar,10,Munger,226
bihar,Bihar,10,Siwan,218
bihar,Bihar,10,Lakhisarai,227
chandigarh,Chandigarh,04,Chandigarh,
chhattisgarh,Chhattisgarh,22,Bastar,414
chhattisgarh,Chhattisgarh,22,Sukma,
chhattisgarh,Chhattisgarh,22,Dhamtari,412
chhattisgarh,Chhattisgarh,22,Balod,
chhattisgarh,Chhattisgarh,22,Janjgir-Champa,405
chhattisgarh,Chhattisgarh,22,Jashpur,402
chhattisgarh,Chhattisgarh,22,Uttar Bastar Kanker,413
chhattisgarh,Chhattisgarh,22,Kabeerdham,407
chhattisgarh,Chhattisgarh,22,Korba,404
chhattisgarh,Chhattisgarh,22,Koriya,400
chhattisgarh,Chhattisgarh,22,Mahasamund,411
chhattisgarh,Chhattisgarh,22,Raigarh,403
chhattisgarh,Chhattisgarh,22,Gariaband,
chhattisgarh,Chhattisgarh,22,Rajnandgaon,408
chhattisgarh,Chhattisgarh,22,Balrampur,
chhattisgarh,Chhattisgarh,22,Narayanpur,415
chhattisgarh,Chhattisgarh,22,Bijapur,417
chhattisgarh,Chhattisgarh,22,Baloda Bazar,
chhattisgarh,Chhattisgarh,22,Raipur,410
chhattisgarh,Chhattisgarh,22,Mungeli,
chhattisgarh,Chhattisgarh,22,Bemetra,
chhattisgarh,Chhattisgarh,22,Durg,409
chhattisgarh,Chhattisgarh,22,Dakshin Bastar Dantewada,416
chhattisgarh,Chhattisgarh,22,Kondagaon,
chhattisgarh,Chhattisgarh,22,Surajpur,
chhattisgarh,Chhattisgarh,22,Surguja,401
chhattisgarh,Chhattisgarh,22,Bilaspur,406
dadra,Dadra and Nagar Haveli,26,Dadra and Nagar Haveli,496
daman,Daman and Diu,25,Daman,495
daman,Daman and Diu,25,Diu,494
delhi,NCT of Delhi,07,Central,095
delhi,NCT of Delhi,07,North,091
delhi,NCT of Delhi,07,North West,090
delhi,NCT of Delhi,07,West,096
delhi,NCT of Delhi,07,South West,097
delhi,NCT of Delhi,07,New Delhi,094
delhi,NCT of Delhi,07,South,098
delhi,NCT of Delhi,07,South East,
delhi,NCT of Delhi,07,East,093
delhi,NCT of Delhi,07,Shahdara,
delhi,NCT of Delhi,07,North East,092
goa,Goa,30,North Goa,585
